episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
3,10,3.082083634,1.364704211,5.855647948,0,0.6,2,0.5,FALSE,TRUE,1.510715071,25,23.1182218,27.903,in_progress,0
3,11,3.123441713,1.378513408,8.103551751,-30,0.6,0,0.4,FALSE,TRUE,1.640038509,25,23.1182218,27.963,in_progress,0
3,12,3.165889379,1.390771799,9.56462013,-15,0.6,1,0.5,FALSE,TRUE,1.776688606,26,23.1182218,28.04,in_progress,0
3,13,3.213827447,1.402720021,10.45401713,15,0.6,3,0.5,FALSE,TRUE,1.934894701,26,23.1182218,28.092,in_progress,0
3,14,3.256003739,1.415907367,11.69700137,-30,0.6,0,0.4,FALSE,TRUE,1.986245422,26,23.1182218,28.158,in_progress,0
3,15,3.291369176,1.427927384,12.7950422,30,0.6,4,0.08,FALSE,TRUE,1.986245422,26,23.1182218,28.231,in_progress,0
3,16,3.345795791,1.443024086,13.37979158,-15,0.6,1,0.1,FALSE,TRUE,2.121883976,26,23.1182218,28.292,in_progress,0
3,17,3.380349221,1.452569046,13.69494598,15,0.6,3,0.1,FALSE,TRUE,2.215278478,26,23.1182218,28.375,in_progress,0
3,18,3.423395074,1.46649795,14.47338595,15,0.6,3,0.1,FALSE,TRUE,2.32625778,27,23.1182218,28.44,in_progress,0
3,19,3.467527262,1.481822837,15.36094782,-15,0.6,1,0.1,FALSE,TRUE,2.437286077,27,23.1182218,28.5,in_progress,0
3,20,3.509043102,1.497943683,16.41116104,30,0.6,4,0.08,FALSE,TRUE,2.537241475,27,23.1182218,28.574,in_progress,0
3,21,3.557958959,1.519131196,17.91352844,0,0.6,2,0.1,FALSE,TRUE,2.639360882,27,23.1182218,28.629,in_progress,0
3,22,3.592995707,1.534740193,18.87350457,30,0.6,4,0.0008,FALSE,FALSE,2.639360882,27,23.1182218,28.699,in_progress,0
3,23,3.632609461,1.555951246,20.5817215,15,0.6,3,0.001,FALSE,FALSE,2.639360882,27,23.1182218,28.758,in_progress,0
3,24,3.668029535,1.577642419,22.46936021,-15,0.6,1,0.001,FALSE,FALSE,2.639360882,27,23.1182218,28.827,in_progress,0
3,25,3.710204101,1.603082903,24.22881478,0,0.6,2,0.001,FALSE,FALSE,2.639360882,27,23.1182218,28.887,in_progress,0
3,26,3.75178662,1.629782597,25.90469324,30,0.6,4,0.0008,FALSE,FALSE,2.639360882,27,23.1182218,28.971,in_progress,0
3,27,3.792290518,1.659850322,28.12759623,30,0.6,4,0.0008,TRUE,FALSE,2.639360882,27,23.1182218,29.031,off_track,0
4,1,3.675221363,0.577577783,-49.94552782,-30,0.6,0,0,FALSE,TRUE,0.604131759,32,23.1182218,29.162,prepare,0
4,2,3.675176792,0.577535825,-49.9580981,-30,0.6,0,0.8,FALSE,TRUE,0.604118776,32,23.1182218,29.224,in_progress,0
4,3,3.679227515,0.573942935,-49.75095492,0,0.6,2,1,FALSE,TRUE,0.627520207,32,23.1182218,29.291,in_progress,0
4,4,3.692216259,0.561928316,-49.34174137,-15,0.6,1,1,FALSE,TRUE,0.704039469,32,23.1182218,29.358,in_progress,0
4,5,3.710501932,0.544744552,-48.73414009,0,0.6,2,1,FALSE,TRUE,0.812572525,32,23.1182218,29.429,in_progress,0
4,6,3.742024925,0.515148998,-47.75815007,30,0.6,4,0.8,FALSE,TRUE,0.995705,32,23.1182218,29.501,in_progress,0
4,7,3.775593793,0.48585821,-46.5867409,-15,0.6,1,1,FALSE,TRUE,1.188082107,32,23.1182218,29.568,in_progress,0
4,8,3.810728326,0.458480492,-45.02686362,-30,0.6,0,0.8,FALSE,TRUE,1.380750825,33,23.1182218,29.629,in_progress,0
4,9,3.841125929,0.431944479,-44.29489781,-15,0.6,1,1,FALSE,TRUE,1.554986651,33,23.1182218,29.698,in_progress,0
4,10,3.874260886,0.402561446,-43.77249251,-30,0.6,0,0.8,FALSE,TRUE,1.736836056,33,23.1182218,29.762,in_progress,0
4,11,3.905216082,0.371236496,-44.04827095,15,0.6,3,1,FALSE,TRUE,1.921833183,34,23.1182218,29.837,in_progress,0
4,12,3.937175201,0.336103006,-44.6965667,0,0.6,2,1,FALSE,TRUE,2.119148708,34,23.1182218,29.894,in_progress,0
4,13,3.964858849,0.306038493,-45.15454065,15,0.6,3,1,FALSE,TRUE,2.263982151,34,23.1182218,29.96,in_progress,0
4,14,3.990671751,0.279298249,-45.26963345,30,0.6,4,0.8,FALSE,TRUE,2.414801692,34,23.1182218,30.037,in_progress,0
4,15,4.02937335,0.24830358,-43.89795502,0,0.6,2,1,FALSE,TRUE,2.623831343,35,23.1182218,30.097,in_progress,0
4,16,4.061826185,0.223080251,-42.88766716,0,0.6,2,1,FALSE,TRUE,2.797669799,35,23.1182218,30.161,in_progress,0
4,17,4.092107975,0.199528613,-42.13565256,-15,0.6,1,1,FALSE,TRUE,2.916503585,35,23.1182218,30.225,in_progress,0
4,18,4.127094256,0.170338968,-41.68315717,30,0.6,4,0.4,FALSE,TRUE,3.101900584,35,23.1182218,30.29,in_progress,0
4,19,4.16365346,0.13881298,-41.50627973,-15,0.6,1,0.5,FALSE,TRUE,3.297147885,36,23.1182218,30.377,in_progress,0
4,20,4.198039571,0.110640966,-41.11749941,-30,0.6,0,0.4,FALSE,TRUE,3.478599685,36,23.1182218,30.425,in_progress,0
4,21,4.228027991,0.086599512,-40.73629564,-30,0.6,0,0.4,FALSE,TRUE,3.566002361,36,23.1182218,30.497,in_progress,0
4,22,4.261224118,0.050966257,-42.01945469,15,0.6,3,0.5,FALSE,TRUE,3.743128842,36,23.1182218,30.558,in_progress,0
4,23,4.288985598,0.0166212,-43.61697711,30,0.6,4,0.4,FALSE,TRUE,3.896098996,37,23.1182218,30.637,in_progress,0
4,24,4.316838852,-0.011647928,-43.9076155,0,0.6,2,0.5,FALSE,TRUE,4.042982054,37,23.1182218,30.69,in_progress,0
4,25,4.345634951,-0.040258268,-44.03275347,0,0.6,2,0.5,FALSE,TRUE,4.173435979,37,23.1182218,30.772,in_progress,0
4,26,4.384009805,-0.074723345,-43.61934994,30,0.6,4,0.08,FALSE,TRUE,4.269320953,37,23.1182218,30.824,in_progress,0
4,27,4.414538738,-0.099866595,-42.98358052,0,0.6,2,0.1,FALSE,TRUE,4.416016627,37,23.1182218,30.894,in_progress,0
4,28,4.441766701,-0.122796676,-42.53723892,0,0.6,2,0.1,FALSE,TRUE,4.547174234,38,23.1182218,30.961,in_progress,0
4,29,4.474839442,-0.14922595,-41.85498219,-30,0.6,0,0.08,FALSE,TRUE,4.705575409,38,23.1182218,31.022,in_progress,0
4,30,4.51317211,-0.183228901,-41.79660581,15,0.6,3,0.1,FALSE,TRUE,4.826853321,39,23.1182218,31.091,in_progress,0
4,31,4.542926962,-0.21071798,-41.97379933,15,0.6,3,0.1,FALSE,TRUE,4.864137566,39,23.1182218,31.165,in_progress,0
4,32,4.576276739,-0.238181534,-41.54384127,30,0.6,4,0.08,FALSE,TRUE,5.013953809,39,23.1182218,31.231,in_progress,0
